tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,controlled_recovery,controlled_recovery_max_alpha_miss_rad,controlled_recovery_max_q_miss_radps,oracle_feasible,oracle_near_feasible,oracle_max_alpha_miss_rad,mean_policy_inference_time_s,mean_policy_mpc_command_gap_rad,trajectory_csv,metrics_json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,hybrid_warm_start_slack_mpc,0.03416665212379662,0.053744522899909414,0.04231506340979848,7.79187830362629,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011168869295628903,0.02246179198846221,True,0.0,0.0,True,True,0.0,3.072014365943126e-05,0.12229302992585313,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_000/hybrid_warm_start_slack_mpc/trajectory.csv,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_000/hybrid_warm_start_slack_mpc/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,hybrid_prior_slack_mpc,0.03416868335425481,0.05374424854858498,0.0423200382255107,5.803081782299457,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.010980701663266913,0.022915375069715083,True,0.0,0.0,True,True,0.0,2.7990708828984218e-05,0.09610169336739563,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_000/hybrid_prior_slack_mpc/trajectory.csv,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_000/hybrid_prior_slack_mpc/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,hybrid_blended_slack_mpc,0.03416237772948791,0.05373943266719408,0.04233330415122774,4.917154464090499,0.0,0.012345679012345678,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011209265469791896,0.023532417020760477,True,0.0,0.0,True,True,0.0,2.8834340484513914e-05,0.030269527662611137,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_000/hybrid_blended_slack_mpc/trajectory.csv,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_000/hybrid_blended_slack_mpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,hybrid_warm_start_slack_mpc,0.022637725888281397,0.04216923254238067,0.03958740303860725,5.3891243770596065,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011204189298973407,0.02313791704364121,True,0.0,0.0,True,True,0.0,2.885800153936869e-05,0.139393400684695,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_001/hybrid_warm_start_slack_mpc/trajectory.csv,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_001/hybrid_warm_start_slack_mpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,hybrid_prior_slack_mpc,0.022641496075941642,0.04216923254238067,0.03960740897300282,2.1377614983430386,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011466483042264978,0.023774957982823253,True,0.0,0.0,True,True,0.0,2.800573071717848e-05,0.08437459432453226,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_001/hybrid_prior_slack_mpc/trajectory.csv,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_001/hybrid_prior_slack_mpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,hybrid_blended_slack_mpc,0.022624245482712663,0.04216923254238067,0.039625719832646004,2.9656038217026617,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011756955768142677,0.023936958983540535,True,0.0,0.0,True,True,0.0,2.7110059975565953e-05,0.024924639759917763,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_001/hybrid_blended_slack_mpc/trajectory.csv,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_001/hybrid_blended_slack_mpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,hybrid_warm_start_slack_mpc,0.03040794571189544,0.04689396443902005,0.042959862083974544,6.520122317280396,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.01203202469314644,0.03144091693684459,True,0.0,0.0,True,True,0.0,3.12058053864741e-05,0.10792885394294152,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_002/hybrid_warm_start_slack_mpc/trajectory.csv,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_002/hybrid_warm_start_slack_mpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,hybrid_prior_slack_mpc,0.03042278591674006,0.04689839160461498,0.04297072296707189,5.010251475581978,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.011133008232673653,0.023252665996551514,True,0.0,0.0,True,True,0.0,2.87675338992734e-05,0.08523354610297892,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_002/hybrid_prior_slack_mpc/trajectory.csv,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_002/hybrid_prior_slack_mpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,hybrid_blended_slack_mpc,0.030449244609282042,0.04692284905876215,0.042991253388006474,2.8089374858846803,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.01138992902368629,0.02330312505364418,True,0.0,0.0,True,True,0.0,2.9064824137790704e-05,0.029886573832841185,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_002/hybrid_blended_slack_mpc/trajectory.csv,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_002/hybrid_blended_slack_mpc/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,hybrid_warm_start_slack_mpc,0.05589869056222674,0.07748643117933221,0.04985690434268889,12.013959344023846,0.0,0.012345679012345678,21,0,False,False,alpha_corridor_violation,8.5,high,0.007486431179332204,0.0,10.5,0.0,False,0.012202559166909828,0.028388542006723583,True,0.007486431179332204,0.0,False,True,0.0074418679406751,3.0658495279006016e-05,0.02590496396490367,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_003/hybrid_warm_start_slack_mpc/trajectory.csv,outputs/phase24_hybrid_imitation_mpc/moderate/scenario_003/hybrid_warm_start_slack_mpc/metrics.json
